fert,noninh,fertsub,hh_landaccess,numadults,district,hh_couple,sea_group,hh_number_cattle,hh_aindex,female_agriculture
0,0,1,2.375,6.719999999999999,402,1,141,0,-0.07103703171014786,1
200,0,1,1.5,2.34,605,1,229,0,-0.1938706636428833,1
0,0,0,2.25,5.68,611,1,271,0,-0.1938706636428833,1
200,0,1,2,5.225,605,1,229,0,-0.1938706636428833,1
0,0,1,0,1.04,602,0,208,0,0.7799348831176758,1
0,0,1,1.375,2.206666666666667,602,0,201,0,-0.4916630983352661,1
0,0,1,0,2.6599999999999997,610,1,261,0,0.7799348831176758,1
200,0,0,7,2.836666666666667,205,0,50,0,-0.07103703171014786,1
100,0,1,1,5.88,605,1,229,0,-0.1938706636428833,1
250,1,1,2.9050000000000002,7.220000000000001,104,1,25,0,-0.4916630983352661,1
0,0,1,0.25,1.58,605,1,229,0,-0.4916630983352661,1
400,1,1,53.75,7.680000000000001,608,1,251,5,0.5386483669281006,1
0,1,1,0.5,7.5600000000000005,602,1,206,0,-0.36882948875427246,1
0,0,0,1.6875,5.476666666666667,606,1,230,0,-0.24599586427211761,1
0,0,1,0.25,1.9,605,0,225,0,-0.4916630983352661,1
0,1,0,2.125,7.12,609,1,258,0,-0.1938706636428833,1
200,0,1,2.5,5.42,603,1,213,0,1.5290483236312866,1
300,0,1,23,5.4399999999999995,611,1,272,0,0.1536550521850586,1
0,0,1,1.125,4.53,605,0,229,0,-0.36882948875427246,1
100,1,1,0.875,13.085,602,1,206,0,-0.1938706636428833,1
0,0,0,0.405,9.4,802,1,312,0,-0.4916630983352661,1
0,0,1,0,6.2,209,1,63,0,-0.1938706636428833,1
0,0,1,4.375,4.52,608,0,249,0,-0.31670427322387695,1
400,0,1,3.75,5.76,609,1,259,0,-0.31670427322387695,1
0,0,1,0.125,6.8,610,1,261,0,3.6686856746673584,1
0,0,0,1,1.78,602,0,203,0,-0.36882948875427246,1
0,0,1,0.5625,1.3166666666666667,605,1,227,0,-0.1938706636428833,1
0,0,1,7.5,5.026666666666667,405,1,166,0,-0.07103703171014786,1
0,1,1,2.5,6.300000000000001,611,1,265,0,0.9027684926986694,1
0,0,1,6,4.74,403,1,153,0,-0.31670427322387695,1
0,1,1,0.75,4.76,602,1,205,0,-0.4916630983352661,1
800,0,1,5.675,7.58,807,1,333,20,0.41581475734710693,1
0,0,1,2.125,8.08,608,1,254,0,-0.4916630983352661,1
0,0,0,0.1875,5.516666666666667,606,1,234,0,-0.4916630983352661,1
0,0,1,1.0625,4.046666666666667,403,1,149,0,-0.1938706636428833,1
0,0,1,2.5,4.96,606,0,231,0,-0.4916630983352661,1
0,0,1,1.5,4.56,605,1,223,0,-0.1938706636428833,1
100,0,0,5,5.739999999999999,606,1,232,0,-0.07103703171014786,1
0,0,0,3,6.72,406,1,171,0,-0.4916630983352661,1
0,0,0,1.625,5.5633333333333335,406,1,171,0,-0.31670427322387695,1
0,0,1,0.625,1.58,606,1,231,0,-0.4916630983352661,1
100,0,0,2.125,5.9799999999999995,611,1,270,0,-0.36882948875427246,1
0,0,1,0,2.6799999999999997,602,0,204,0,0.27648866176605225,1
0,1,0,1.75,4.539999999999999,609,1,258,0,-0.1938706636428833,1
0,0,0,1,5.25,611,1,270,0,-0.36882948875427246,1
0,0,0,3.625,4.58,405,1,164,0,0.1536550521850586,1
0,0,0,2,4.3,611,1,268,0,-0.36882948875427246,1
0,0,1,0,1.76,602,0,204,0,-0.4916630983352661,1
0,0,1,0,6.859999999999999,610,1,261,0,-0.1938706636428833,1
0,1,1,4.75,2.62,608,1,245,0,-0.1938706636428833,1
0,1,1,0.625,1.34,602,0,206,0,-0.36882948875427246,1
0,0,0,1.125,3.8,611,1,270,0,-0.36882948875427246,1
0,0,0,0,0.74,604,0,220,0,-0.4916630983352661,1
200,0,1,1,3.54,202,0,43,0,-0.4916630983352661,1
100,1,1,1.5,4.7700000000000005,402,1,148,0,-0.31670427322387695,1
100,0,0,2.25,3.49,606,1,232,0,0.1536550521850586,1
0,1,1,0.125,3.7166666666666663,803,1,314,0,0.7799348831176758,1
0,0,1,0.25,3.98,204,0,47,0,4.110262870788574,1
100,0,1,1.25,6.18,608,1,247,0,-0.1938706636428833,1
0,1,1,7.1875,8.7,402,1,148,0,-0.1938706636428833,1
0,0,1,0.375,5,602,1,201,0,-0.36882948875427246,1
0,0,1,1.375,2.2600000000000002,606,1,231,0,-0.36882948875427246,1
0,1,1,2.625,5.665,606,1,233,0,0.1536550521850586,1
0,0,0,1.875,2.87,402,1,147,0,-0.4916630983352661,1
0,1,1,4.5,5.26,608,0,245,0,-0.1938706636428833,1
0,1,1,1.25,5.8,606,1,233,0,-0.1938706636428833,1
0,0,0,0.5,0.74,605,0,224,0,-0.4916630983352661,1
0,0,1,5.125,2.86,611,1,267,0,-0.36882948875427246,1
400,0,1,1.75,7.92,605,1,225,0,-0.1938706636428833,1
300,1,1,2,6.64,611,1,265,0,-0.1938706636428833,1
0,0,1,0,2.2466666666666666,602,1,207,0,-0.31670427322387695,1
100,1,1,0.6875,5.58,605,1,226,0,0.1536550521850586,1
0,1,1,0,2.35,602,0,206,0,-0.4916630983352661,1
0,1,1,0.375,4.52,602,1,205,0,-0.31670427322387695,1
0,0,1,1.5,4.66,605,1,223,0,-0.31670427322387695,1
0,0,0,1,8.240000000000002,606,1,234,0,-0.24599586427211761,1
0,0,1,36,6.08,611,1,272,0,-0.1938706636428833,1
0,1,0,1.25,4.74,605,1,222,0,-0.1938706636428833,1
0,0,1,0,3.88,610,0,261,0,0.1536550521850586,1
0,0,1,0.875,3.5999999999999996,611,0,267,0,-0.4916630983352661,1
0,0,0,0.625,3.38,606,1,234,0,-0.4916630983352661,1
0,0,0,0.5625,3.26,606,1,234,0,-0.4916630983352661,1
0,0,0,0.5625,1.4483333333333333,606,1,234,0,-0.31670427322387695,1
0,1,1,2,7.36,602,1,205,0,-0.31670427322387695,1
0,0,0,0.0625,9.82,606,1,234,0,-0.31670427322387695,1
0,1,0,2.375,6.82,605,1,222,0,-0.1938706636428833,1
0,0,0,2.25,4.82,205,0,50,0,-0.4916630983352661,1
0,0,0,1.25,4.38,605,1,221,0,-0.4916630983352661,1
0,0,1,0.75,2,608,0,246,0,-0.31670427322387695,1
0,0,0,2.125,4.5600000000000005,605,0,224,0,-0.1938706636428833,1
800,0,1,51,2.04,209,0,63,0,1.3788508176803589,1
0,0,0,0.5,2.2600000000000002,406,1,168,0,-0.31670427322387695,1
250,0,1,6.75,5.0200000000000005,607,0,239,0,0.7799348831176758,1
0,0,1,3,1.8599999999999999,606,0,235,0,-0.4916630983352661,1
0,0,0,0.875,1.54,606,0,230,0,-0.4916630983352661,1
350,0,1,6.25,2.6,606,0,235,0,0.1536550521850586,1
800,0,1,8.625,5.5,606,1,235,0,-0.1938706636428833,1
0,0,0,1.0625,6.880000000000001,606,1,230,0,-0.1938706636428833,1
0,0,1,3.125,7.699999999999999,606,1,235,1,-0.4916630983352661,1
0,0,0,0.125,1.04,602,0,203,0,0.7799348831176758,1
100,0,0,0.5,3.42,611,1,270,0,-0.4916630983352661,1
0,0,1,1.25,2.38,606,1,235,0,-0.31670427322387695,1
0,0,1,3.25,3.1399999999999997,402,0,144,0,-0.31670427322387695,1
0,0,1,0,1.84,606,1,235,0,0.1536550521850586,1
0,1,1,1.25,0.74,606,0,233,0,-0.4916630983352661,1
0,0,1,0.25,4.333333333333333,602,0,208,0,-0.4916630983352661,1
0,0,1,1.375,6,609,0,259,0,0.3993223011493683,1
0,0,1,3.375,3.7800000000000002,608,0,246,0,-0.24599586427211761,1
0,0,0,0.625,5.215,606,1,236,0,-0.4916630983352661,1
200,0,1,5.1875,7.08,402,1,141,0,-0.1938706636428833,1
0,1,1,0.5,3.94,602,0,206,0,-0.4916630983352661,1
0,0,1,4.375,5.08,611,1,272,0,-0.1441373974084854,1
0,0,1,2.875,0.74,609,0,259,0,-0.4916630983352661,1
0,0,0,2.75,5.42,606,1,236,0,-0.1938706636428833,1
0,0,0,1.75,6.75,604,1,220,0,-0.1938706636428833,1
0,0,1,4.75,2.5633333333333335,207,1,57,0,-0.1938706636428833,1
0,0,0,1.25,2.31,606,1,230,0,-0.24599586427211761,1
0,1,1,0.405,3.6399999999999997,608,0,245,0,-0.4916630983352661,1
0,0,0,1.125,5.3,606,0,232,0,-0.36882948875427246,1
0,0,0,1.25,4.58,605,1,221,0,-0.31670427322387695,1
0,0,1,1,6.9799999999999995,608,1,246,0,-0.36882948875427246,1
0,0,0,0.875,2.746666666666667,405,1,160,0,0.1536550521850586,1
0,0,1,2.75,4.38,402,0,141,0,-0.36882948875427246,1
0,1,0,0.5,3.96,407,1,182,0,-0.4916630983352661,1
200,1,1,0.405,5.2,607,1,237,0,0.1536550521850586,1
200,0,1,5.5625,4.279999999999999,202,1,43,0,-0.31670427322387695,1
100,0,1,7.125,1,209,0,63,0,-0.1938706636428833,1
0,0,0,0.875,3.408333333333333,406,1,168,0,-0.4916630983352661,1
0,1,0,1.25,4.62,609,1,258,0,-0.1938706636428833,1
0,0,1,3.375,5.8,605,1,223,0,-0.1938706636428833,1
0,0,1,1.25,1.8,608,1,246,0,0.1536550521850586,1
0,0,1,6.25,7.8100000000000005,402,1,141,0,-0.24599586427211761,1
0,0,0,1,2.6399999999999997,611,0,270,0,-0.4916630983352661,1
1000,1,1,5.5,0.74,602,0,206,0,-0.021303776651620865,1
0,0,0,1.5,5.319999999999999,605,1,221,0,-0.31670427322387695,1
0,0,1,1.25,1.54,605,0,223,0,-0.4916630983352661,1
400,0,1,3.25,3.1799999999999997,209,1,64,0,0.27648866176605225,1
0,1,1,0.25,1.68,610,0,263,0,-0.31670427322387695,1
300,0,1,4,7.46,607,1,239,0,0.9027684926986694,1
0,1,0,2.625,9.54,605,0,222,0,-0.1938706636428833,1
0,0,0,0.5,1.8199999999999998,802,1,312,0,-0.4916630983352661,1
200,1,0,2.75,3.54,609,0,258,0,-0.24599586427211761,1
